,title,studio,domestic_gross,year,production_budget,tconst,runtime_minutes,genres,averagerating,numvotes,profit,roi
0,Toy Story 3,BV,415000000.0,2010,,tt0435761,103.0,"Adventure,Animation,Comedy",8.3,682218,,
1,Inception,WB,292600000.0,2010,,tt1375666,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,,
2,Shrek Forever After,P/DW,238700000.0,2010,,tt0892791,93.0,"Adventure,Animation,Comedy",6.3,167532,,
3,The Twilight Saga: Eclipse,Sum.,300500000.0,2010,,tt1325004,124.0,"Adventure,Drama,Fantasy",5.0,211733,,
4,Iron Man 2,Par.,312400000.0,2010,,tt1228705,124.0,"Action,Adventure,Sci-Fi",7.0,657690,,
5,Iron Man 2,,312433331.0,2010,170000000.0,tt1228705,124.0,"Action,Adventure,Sci-Fi",7.0,657690,142433331.0,83.78431235294119
6,Tangled,BV,200800000.0,2010,,tt0398286,100.0,"Adventure,Animation,Comedy",7.8,366366,,
7,Despicable Me,Uni.,251500000.0,2010,,tt1323594,95.0,"Animation,Comedy,Family",7.7,464511,,
8,Despicable Me,,251513985.0,2010,69000000.0,tt1323594,95.0,"Animation,Comedy,Family",7.7,464511,182513985.0,264.51302173913047
9,How to Train Your Dragon,P/DW,217600000.0,2010,,tt0892769,98.0,"Action,Adventure,Animation",8.1,611299,,
10,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,2010,,tt0980970,113.0,"Adventure,Family,Fantasy",6.3,129663,,
11,The King's Speech,Wein.,135500000.0,2010,,tt1504320,118.0,"Biography,Drama,History",8.0,593629,,
12,The Karate Kid,Sony,176600000.0,2010,,tt1155076,140.0,"Action,Drama,Family",6.2,146401,,
13,Prince of Persia: The Sands of Time,BV,90800000.0,2010,,tt0473075,116.0,"Action,Adventure,Fantasy",6.6,254975,,
14,Black Swan,FoxS,107000000.0,2010,,tt0947798,108.0,"Drama,Thriller",8.0,648854,,
15,Black Swan,,106954678.0,2010,13000000.0,tt0947798,108.0,"Drama,Thriller",8.0,648854,93954678.0,722.7282923076923
16,Megamind,P/DW,148400000.0,2010,,tt1001526,95.0,"Action,Animation,Comedy",7.3,207488,,
17,Megamind,,148415853.0,2010,130000000.0,tt1001526,95.0,"Action,Animation,Comedy",7.3,207488,18415853.0,14.16604076923077
18,Robin Hood,Uni.,105300000.0,2010,,tt0955308,140.0,"Action,Adventure,Drama",6.6,239480,,
19,The Last Airbender,Par.,131800000.0,2010,,tt0938283,103.0,"Action,Adventure,Family",4.1,137734,,
20,The Last Airbender,,131772187.0,2010,150000000.0,tt0938283,103.0,"Action,Adventure,Family",4.1,137734,-18227813.0,-12.151875333333333
21,Little Fockers,Uni.,148400000.0,2010,,tt0970866,98.0,"Comedy,Romance",5.5,99222,,
22,Resident Evil: Afterlife,SGem,60100000.0,2010,,tt1220634,96.0,"Action,Adventure,Horror",5.9,153270,,
23,Shutter Island,Par.,128000000.0,2010,,tt1130884,138.0,"Mystery,Thriller",8.1,1005960,,
24,Salt,Sony,118300000.0,2010,,tt0944835,100.0,"Action,Mystery,Thriller",6.4,277204,,
25,Sex and the City 2,WB (NL),95300000.0,2010,,tt1261945,146.0,"Comedy,Drama,Romance",4.4,69199,,
26,The Tourist,Sony,67600000.0,2010,,tt1243957,103.0,"Action,Adventure,Thriller",6.0,206714,,
27,The Expendables,LGF,103100000.0,2010,,tt1320253,103.0,"Action,Adventure,Thriller",6.5,307897,,
28,Grown Ups,Sony,162000000.0,2010,,tt1375670,102.0,Comedy,6.0,210377,,
