,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
0,5745,Deep Throat,25000.0,45000000.0,45000000, 1972,,,,,,44975000.0,179900.0
1,5613,Mad Max,200000.0,8750000.0,99750000, 1980,,,,,,99550000.0,49775.0
2,5492,Paranormal Activity,450000.0,107918810.0,194183034, 2009,,,,,,193733034.0,43051.78533333333
3,5679,The Gallows,100000.0,22764410.0,41656474, 2015,,,,,,41556474.0,41556.473999999995
4,5406,The Blair Witch Project,600000.0,140539099.0,248300000, 1999,,,,,,247700000.0,41283.33333333333
5,5709,Super Size Me,65000.0,11529368.0,22233808,2004,,,,,,22168808.0,34105.85846153846
6,5346,Bambi,858000.0,102797000.0,268000000, 1942,,,,,,267142000.0,31135.431235431235
7,5773,El Mariachi,7000.0,2040920.0,2041928, 1993,,,,,,2034928.0,29070.4
8,5676,Night of the Living Dead,114000.0,12087064.0,30087064,1968,,,,,,29973064.0,26292.16140350877
9,5210,Rocky,1000000.0,117235147.0,225000000, 1976,,,,,,224000000.0,22400.0
10,5536,Halloween,325000.0,47000000.0,70000000, 1978,,,,,,69675000.0,21438.46153846154
11,5715,The Brothers McMullen,50000.0,10426506.0,10426506,1995,,,,,,10376506.0,20753.012000000002
12,5665,The Texas Chainsaw Massacre,140000.0,26572439.0,26572439, 1974,,,,,,26432439.0,18880.31357142857
13,5372,American Graffiti,777000.0,115000000.0,140000000, 1973,,,,,,139223000.0,17918.018018018018
14,5781,My Date With Drew,1100.0,181041.0,181041,2005,,,,,,179941.0,16358.272727272728
15,5656,Once,150000.0,9445857.0,23323631, 2007,,,,,,23173631.0,15449.087333333333
16,5742,Clerks,27000.0,3073428.0,3894240, 1994,,,,,,3867240.0,14323.111111111111
17,5612,The Stewardesses,200000.0,13500000.0,25000000, 1969,,,,,,24800000.0,12400.0
18,5117,Snow White and the Seven Dwarfs,1488000.0,184925486.0,184925486, 1937,,,,,,183437486.0,12327.78803763441
19,5357,Billy Jack,800000.0,98000000.0,98000000,1971,,,,,,97200000.0,12150.0
20,5774,Primer,7000.0,424760.0,841926,2004,,,,,,834926.0,11927.514285714286
21,5746,In the Company of Men,25000.0,2883661.0,2883661,1997,,,,,,2858661.0,11434.644
22,5507,Napoleon Dynamite,400000.0,44540956.0,46122713, 2004,,,,,,45722713.0,11430.678249999999
23,5430,Open Water,500000.0,30500882.0,55518641,2004,,,,,,55018641.0,11003.728200000001
24,5424,Friday the 13th,550000.0,39754601.0,59754601,1980,,,,,,59204601.0,10764.47290909091
25,5680,Facing the Giants,100000.0,10178331.0,10243159, 2006,,,,,,10143159.0,10143.159
26,5211,The Devil Inside,1000000.0,53262945.0,101759490,2012,,,,,,100759490.0,10075.949
27,5655,Sweet Sweetback's Baad Asssss Song,150000.0,15200000.0,15200000,1971,,,,,,15050000.0,10033.333333333332
28,4567,Gone with the Wind,3900000.0,198680470.0,390525192, 1939,,,,,,386625192.0,9913.466461538463
29,5677,The Birth of a Nation,110000.0,10000000.0,11000000,1915,,,,,,10890000.0,9900.0
30,5568,Graduation Day,250000.0,23894000.0,23894000,1981,,,,,,23644000.0,9457.599999999999
31,4775,Cinderella,2900000.0,85000000.0,263591415, 1950,,,,,,260691415.0,8989.359137931035
